年,性別,平均値等,年齢計,20_24歳,25_29歳,30_34歳,35_39歳,40_44歳,45_49歳,50_54歳,55_59歳,60_64歳,65_69歳
2005,女性,十分位分散係数,0.48,0.25,0.3,0.37,0.45,0.57,0.63,0.67,0.65,0.64,NA
2005,女性,四分位分散係数,0.23,0.13,0.15,0.18,0.25,0.31,0.34,0.33,0.3,0.25,NA
2006,男性,平均値,337.7,201.6,241.7,287.1,342.1,392.4,416.5,420,395.7,289.8,NA
2006,男性,第１十分位数,184.6,155,178.3,200.6,219.5,234.1,230.5,218,194.9,147.1,NA
2006,男性,第１四分位数,230,175.5,204.5,234.2,266.3,293.2,301.2,297.6,267.6,182.8,NA
2006,男性,中位数,302.6,198.3,233.6,274.1,322.5,366.3,389.4,396.9,367,242.6,NA
2006,男性,第３四分位数,406.4,222.9,268.7,324,393.4,458.9,497.7,512.9,489,342.7,NA
2006,男性,第９十分位数,534.3,251.1,312.4,383.2,477.2,571.4,626.9,645.8,626.3,501.9,NA
2006,男性,十分位分散係数,0.58,0.24,0.29,0.33,0.4,0.46,0.51,0.54,0.59,0.73,NA
2006,男性,四分位分散係数,0.29,0.12,0.14,0.16,0.2,0.23,0.25,0.27,0.3,0.33,NA
2006,女性,平均値,222.6,186.5,209.9,227.2,244.5,246.6,240.3,233.2,226,199.5,NA
2006,女性,第１十分位数,133.8,142.3,149.6,145.2,139.5,133.2,129.2,125.6,124.2,112.2,NA
2006,女性,第１四分位数,162.5,161.6,175.4,180.7,177.8,163.9,158.1,152,150.1,132.9,NA
2006,女性,中位数,202.8,183,205,221.1,234.4,221.6,208.1,201.7,192.9,163.6,NA
2006,女性,第３四分位数,257.3,207.9,237.5,263.2,291.5,298,290.6,284.6,269.4,217.7,NA
2006,女性,第９十分位数,330.2,235.2,273.2,310.2,354.5,384.1,386.2,383.9,371.1,322.9,NA
2006,女性,十分位分散係数,0.48,0.25,0.3,0.37,0.46,0.57,0.62,0.64,0.64,0.64,NA
2006,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.24,0.3,0.32,0.33,0.31,0.26,NA
2007,男性,平均値,336.7,201.7,241.2,286.1,337.3,392.1,416.4,421.5,392.7,293.9,NA
2007,男性,第１十分位数,185.2,155.9,178.2,199.4,216.8,228.2,229.1,220.5,198.2,152.3,NA
2007,男性,第１四分位数,229,176,204,232.3,262.5,286.1,297.2,293.6,267.8,188.1,NA
2007,男性,中位数,299.6,199.4,232.9,272.8,317.3,363.1,386.2,393.7,362.8,250,NA
2007,男性,第３四分位数,404.2,222.8,268.3,324,388.3,460.1,496.3,510,484.6,341.5,NA
2007,男性,第９十分位数,531.5,250.2,311.7,383.1,475.2,573.5,637.7,650.8,617.5,503.3,NA
2007,男性,十分位分散係数,0.58,0.24,0.29,0.34,0.41,0.48,0.53,0.55,0.58,0.7,NA
2007,男性,四分位分散係数,0.29,0.12,0.14,0.17,0.2,0.24,0.26,0.27,0.3,0.31,NA
2007,女性,平均値,225.2,187.1,212.9,230.9,242.8,248.8,242.2,236.3,231.1,201.5,NA
2007,女性,第１十分位数,136.2,142.9,151.6,150.3,141.6,137.3,132.3,127.6,125.9,116.4,NA
2007,女性,第１四分位数,164.3,161.8,177.5,182.9,179.5,168.9,160.9,153,150,136.6,NA
2007,女性,中位数,204.5,183.3,207.5,222.4,230.5,225.1,211.7,200.9,193.6,165.2,NA
2007,女性,第３四分位数,259.6,208.6,241,266.5,287,299.7,290.4,285.6,274,221.4,NA
2007,女性,第９十分位数,334.3,236.1,276.6,316.1,353.1,379.5,391.6,391.2,380.7,330,NA
2007,女性,十分位分散係数,0.48,0.25,0.3,0.37,0.46,0.54,0.61,0.66,0.66,0.65,NA
2007,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.23,0.29,0.31,0.33,0.32,0.26,NA
2008,男性,平均値,333.7,204.4,242.8,286.5,333.9,384.9,414.2,421.6,394.8,288.1,254.8
2008,男性,第１十分位数,183.9,157.9,177,196.9,214.2,226.7,232.6,219,197.5,151.1,134.3
2008,男性,第１四分位数,227.8,178.3,205.2,231.7,259.5,285.9,300.3,296.4,267.6,183.7,161.4
2008,男性,中位数,298.1,201.8,234.9,273,314,359.5,386.5,393,367.5,242.2,206.8
